CountryName,Average
Kazakhstan,0
Kenya,576333.75
Kiribati,985.0445251
"Korea, Dem. People’s Rep.",119243.4453
"Korea, Rep.",77155.28906
Kosovo,0
Kuwait,13422.94238
Kyrgyz Republic,0
Lao PDR,227855.5313
Late-demographic dividend,39108425.06
Latin America & Caribbean,18127126.26
Latin America & Caribbean (excluding high income),17231962.28
Latin America & the Caribbean (IDA & IBRD countries),18012755.59
Latvia,60137.24219
Least developed countries: UN classification,15059561.38
Lebanon,8081.997559
Lesotho,0
Liberia,95634.38281
Libya,1606874.75
Liechtenstein,0
Lithuania,59360.13672
Low & middle income,78884793.98
Low income,8697479.628
Lower middle income,17577983.58
Luxembourg,1782.765503
"Macao SAR, China",11.18112087
"Macedonia, FYR",21962.62305
Madagascar,587832.9375
Malawi,92909.46094
Malaysia,312833.0313
Maldives,291.7807007
Mali,1243208.25
Malta,30.62650871
Marshall Islands,284.8295898
Mauritania,1041101.875
Mauritius,727.6514893
Mexico,1831423.5
"Micronesia, Fed. Sts.",517.3094482
Middle East & North Africa,10642151.44
Middle East & North Africa (excluding high income),8312627.181
Middle East & North Africa (IDA & IBRD countries),8309122.121
Middle income,70187314.35
Moldova,31217.15234
Monaco,0.483293235
Mongolia,0
Montenegro,0
Morocco,659759.4375
Mozambique,769595.125
Myanmar,657996.3125
Namibia,822303.125
Nauru,10.04919243
Nepal,0
Netherlands,21411.86328
New Caledonia,18564.04102
New Zealand,253834.7031
Nicaragua,115694.2891
Niger,0
Nigeria,880103.3125
North America,17633613.29
Northern Mariana Islands,379.3888855
Norway,292187.8125
Not classified,0
OECD members,32551468.86
Oman,307667.5313
Other small states,1365357.063
Pacific island small states,63259.04956
Pakistan,751709.5
Palau,448.2705994
Panama,71714.3125
Papua New Guinea,459445.5
Paraguay,0
Peru,1256339.875
Philippines,282759.125
Poland,277840.5
Portugal,78286.85156
Post-demographic dividend,29857737.36
Pre-demographic dividend,15238541.32
Puerto Rico,459.9195251
Qatar,9779.24707
Romania,219047.9375
Russian Federation,16305829.27
Rwanda,0
Samoa,2748.275879
San Marino,3.735872746
Sao Tome and Principe,933.3151855
Saudi Arabia,1912311.875
Senegal,193255.5469
Serbia,0
Seychelles,187.9656067
Sierra Leone,71494.83594
Singapore,103.5980911
Sint Maarten (Dutch part),0
Slovak Republic,0
Slovenia,17680.89453
Small states,1821834.322
Solomon Islands,28264.57813
Somalia,634302.5625
South Africa,53460.3125
South Asia,3917486.964
South Asia (IDA & IBRD),3917486.964
South Sudan,0
Spain,432138.3438
Sri Lanka,61106.80859
St. Kitts and Nevis,36.29169846
St. Lucia,263.5793762
St. Martin (French part),0
St. Vincent and the Grenadines,322.5854187
Sub-Saharan Africa,17310643.96
Sub-Saharan Africa (excluding high income),17310456
Sub-Saharan Africa (IDA & IBRD countries),17310643.96
Sudan,2489483.5
Suriname,139976.1719
Swaziland,16551.38672
Sweden,390507.2813
Switzerland,30190.08398
Syrian Arab Republic,173463.2344
Tajikistan,0
Tanzania,886549.5625
Thailand,474183.4375
Timor-Leste,14569.63867
Togo,55426.64063
Tonga,552.3500366
Trinidad and Tobago,2879.285645
Tunisia,144635.9063
Turkey,723511.5
Turkmenistan,0
Turks and Caicos Islands,965.7578735
Tuvalu,38.7635994
Uganda,0
Ukraine,553950.875
United Arab Emirates,70575.10938
United Kingdom,183648.9219
United States,8549545.51
Upper middle income,52609330.77
Uruguay,168731.9219
Uzbekistan,0
Vanuatu,12210.13477
"Venezuela, RB",868222.75
Vietnam,318130.0938
Virgin Islands (U.S.),63.46201324
West Bank and Gaza,3505.060059
World,111794070.4
"Yemen, Rep.",411287.5938
Zambia,0
Zimbabwe,0
