Country Name	10 year GDP Average	Average Arable Land %(10 yrs)	Average rural population (10 yrs)	Land area(Sq Km)	Average % of Forest Cover (10 yrs)	"Average Agriculture Contribution to GDP(% of GDP, 10 yrs)"	continent
Other small states	3.30E+11	2.04956893	11430946.73	2030709	26.09650749	2.623016064	#N/A
Pacific island small states	7008653770	3.709898675	1401544.545	64200	61.74352875	15.78065741	Oceania
Post-demographic dividend	4.25E+13	12.16495424	217895760.3	31482667	31.54955164	1.458869013	#N/A
Pre-demographic dividend	9.70E+11	8.789568627	471539786.5	20167611	26.78913739	27.31894708	#N/A
Small states	3.98E+11	2.055868063	16837417.82	2499759	36.5988921	3.081924905	#N/A
South Asia	1.92E+12	43.29775879	1122375624	4771577	17.26580313	18.95529416	Asia
South Asia (IDA & IBRD)	1.92E+12	43.29775879	1122375624	4771577	17.26580313	18.95529416	Asia
Sub-Saharan Africa	1.27E+12	8.611917262	566657250.8	23618361	26.5114021	19.04785275	Africa
Sub-Saharan Africa (excluding high income)	1.27E+12	8.612058661	566615415.8	23617901	26.51019644	19.06128438	Africa
Sub-Saharan Africa (IDA & IBRD countries)	1.27E+12	8.611917262	566657250.8	23618361	26.5114021	19.04785275	Africa
Upper middle income	1.57E+13	8.775625726	1005249555	59534441.8	34.89588993	7.498501955	#N/A
World	6.58E+13	10.78927561	3345886418	129758982.2	30.95225224	4.004229773	#N/A
Afghanistan	14516852848	11.9336458	21217143.73	652860	2.067824648	26.59055143	Asia
Albania	11574059426	21.96642336	1404556.545	27400	28.3450564	20.99945462	Europe
Algeria	1.66E+11	3.145099669	11756118.55	2381741	0.76590294	9.341438847	Africa
American Samoa	588363636.4	15.28	6990.363636	200	88.55909091	#DIV/0!	Oceania
Andorra	3512859907	5.29787234	9785	470	34.04255319	0.485235256	Europe
Angola	86040327726	3.264618593	12714885.91	1246700	46.90783669	#DIV/0!	Africa
Antigua and Barbuda	1193320505	9.090909091	64288.18182	440	22.27272727	2.024260549	North America
Argentina	4.16E+11	13.4890141	3727478	2736690	10.45968272	7.848101832	South America
Armenia	9462097983	15.81173165	1089938.909	28470	11.64543219	20.12893854	Asia
Aruba	2531324022	11.11111111	57986.90909	180	2.333333333	0.46388854	North America
Australia	1.15E+12	6.005844604	2478971.909	7682300	16.25023519	2.564625146	Oceania
Austria	3.94E+11	16.53708571	2864178.818	82580	46.75405111	1.45297648	Europe
Azerbaijan	49983057414	22.73657024	4199409.909	82663	12.19977185	6.542405683	Asia
"Bahamas, The"	8204499245	0.779220779	62739.27273	10010	51.44855145	2.159399835	North America
Bahrain	26104096059	1.963843242	136477.3636	771	0.690552865	0.292404921	Asia
Bangladesh	1.19E+11	59.68502727	105386768.2	130170	11.07782131	17.65141281	Asia
Barbados	4380945004	28.13953488	189630.4545	430	14.65116279	1.679013905	North America
Belarus	54980910142	27.35061637	2421564.636	202910	42.06400475	9.426117852	Europe
Belgium	4.81E+11	27.42073976	257288.5455	30280	22.45346463	0.8304542	Europe
Belize	1444368924	3.231039018	176817.9091	22810	60.99972102	14.14127598	North America
Benin	7294331695	23.03121674	5518811.818	112760	40.44874069	26.16411469	Africa
Bermuda	5611135667	6.6	0	50	20	0.811334921	North America
Bhutan	1498205140	3.032767532	466880.6364	38117	70.97334284	18.72839348	Asia
Bolivia	21407823036	3.920659097	3326851.091	1083300	52.15872376	13.29271054	South America
Bosnia and Herzegovina	16585333996	19.75	2324007.182	51200	42.67578125	8.587436043	Europe
Botswana	12768170416	0.487357295	897854	566730	20.06791754	2.598527326	Africa
Brazil	1.89E+12	8.602884135	31092095.55	8358140	59.74693804	5.142535567	South America
British Virgin Islands	#DIV/0!	6.666666667	14884	150	24.26666667	#DIV/0!	North America
Brunei Darussalam	14345800185	0.683111954	96260.27273	5270	72.57202001	0.772701584	Asia
Bulgaria	49087569095	29.78519107	2053805.909	108640	34.41628139	5.789427681	Europe
Burkina Faso	9120991983	20.50438596	11616342	273600	20.64792663	35.84840759	Africa
Burundi	2078028280	38.96417445	8474608.091	25680	9.331634098	40.97662492	Africa
Cabo Verde	1610151091	12.63027295	188598.8182	4030	21.33837131	9.821341818	Africa
Cambodia	11940749862	21.24405167	11537394.73	176520	57.183322	33.36544372	Asia
Cameroon	24399293367	12.86518161	9985803.727	472710	42.13153942	22.67638302	Africa
Canada	1.57E+12	4.921652915	6478376.273	9093510	38.19352283	1.631591515	North America
Cayman Islands	3207032513	0.833333333	0	240	52.91666667	0.307553902	North America
Central African Republic	1787656926	2.996885935	2721344.364	622980	35.7122219	51.66858749	Africa
Chad	10477811482	3.649142313	9323379.818	1259200	4.374205845	53.6209697	Africa
Channel Islands	10006017174	21.02105263	109813.1818	190	4.210526316	#DIV/0!	Europe
Chile	2.10E+11	1.769015994	1945389.182	743532	22.31193326	3.683552544	South America
China	6.52E+12	11.46492117	679016868.7	9388211.8	21.3725208	9.832711034	Asia
Colombia	2.76E+11	1.605930599	11437637.18	1109500	53.20053259	7.167414375	South America
Comoros	528722360.1	34.92745836	504534.5455	1861	21.10302379	39.65231363	Africa
"Congo, Dem. Rep."	22724018950	3.032134271	39659666	2267050	67.98923711	22.8497037	Africa
"Congo, Rep."	10963033182	1.502196193	1488607.545	341500	65.61160655	4.417625168	Africa
Costa Rica	37310946670	4.295142969	1285048.273	51060	51.21603817	7.234581104	North America
Cote d'Ivoire	25298151132	9.056603774	9984778.455	318000	32.71383648	23.25690732	Africa
Croatia	57381998154	15.60418156	1845082.727	55960	34.23711742	4.727649003	Europe
Cuba	66206612370	31.98412443	2648805.818	106863	27.8028683	3.879375937	North America
Curacao	#DIV/0!	#DIV/0!	15013.90909	444	#DIV/0!	#DIV/0!	North America
Cyprus	23808286747	10.0508658	357620.7273	9240	18.70188902	2.407729295	Europe
Czech Republic	1.97E+11	41.11542544	2786349.091	77260	34.40010204	2.315316817	Europe
Denmark	3.21E+11	56.62652176	731462.4545	42430	13.83102622	1.383206696	Europe
Djibouti	1169548271	0.068593615	191102.3636	23180	0.241587575	3.631854562	Africa
Dominica	469449484.8	7.466666667	22774.81818	750	59.54666667	14.43411854	North America
Dominican Republic	52582416507	16.68391637	2603899.273	48310	37.61690597	6.347251068	North America
Ecuador	72541320818	4.775769045	5565475.455	248360	52.10805429	9.779172462	South America
"Egypt, Arab Rep."	2.12E+11	2.730021598	47033433.64	995450	0.070319956	12.9793469	Africa
El Salvador	21951600000	33.11293436	2157902.091	20720	13.85135135	11.69677564	North America
Equatorial Guinea	16525252856	4.420677362	443896.1818	28050	57.97763734	1.261686764	Africa
Eritrea	1655603710	6.702970297	3601049.429	101000	15.16831683	21.52247574	Africa
Estonia	21501148627	14.44326492	424502.9091	42390	52.80404898	3.312782025	Europe
Ethiopia	34262849609	14.31532	72380890.82	1000000	12.54336364	45.29997077	Africa
Faroe Islands	2265498889	2.148997135	28618.36364	1396	0.05730659	#DIV/0!	Europe
Fiji	3625530548	9.143951834	413201	18270	54.77369757	12.30653195	Oceania
Finland	2.51E+11	7.394753947	881440.6364	304590	73.0196354	2.638586282	Europe
France	2.64E+12	33.42543333	14067048.09	547557	29.9960469	1.732578908	Europe
French Polynesia	#DIV/0!	0.737704918	117125.8182	3660	40.48683557	#DIV/0!	Oceania
Gabon	14488597533	1.261303217	222345.5455	257670	86.43896174	4.489434275	Africa
"Gambia, The"	855043201.9	38.94268775	742073.4545	10120	47.4038807	25.44614415	Africa
Georgia	12402312785	6.374154555	1851264.364	69490	40.42007352	10.2411499	Asia
Germany	3.47E+12	34.07842301	20959726.09	348900	32.70659838	0.788664466	Europe
Ghana	31640928315	19.79432188	11963964.91	227540	40.41047728	28.49142678	Africa
Gibraltar	#DIV/0!	#DIV/0!	0	10	0	#DIV/0!	Europe
Greece	2.75E+11	19.99456943	2615167	128900	30.27928627	3.625534627	Europe
Greenland	2212523250	0.002192715	8754.636364	410450	0.000535997	#DIV/0!	North America
Grenada	803389542.1	7.647058824	67352.45455	340	49.97058824	5.386827278	North America
Guam	4897545455	2.222222222	9544.090909	540	46.2962963	#DIV/0!	Oceania
Guatemala	44015946675	11.57045539	7455612.909	107160	34.81964098	11.91035681	North America
Guinea	4923105623	11.79838841	7185925.909	245720	26.63193879	22.66418764	Africa
Guinea-Bissau	882186745.4	10.31294452	897331.7273	28120	71.90611664	45.73976073	Africa
Guyana	2262908386	2.133604267	540269.1818	196850	84.17299744	21.41548994	South America
Haiti	6920371699	36.92427431	4800570.545	27560	3.664731495	#DIV/0!	North America
Honduras	15541589973	9.194744839	3613686.182	111890	46.40271695	13.40302514	North America
"Hong Kong SAR, China"	2.40E+11	3.552380952	0	1050	#DIV/0!	0.061838428	Asia
Hungary	1.32E+11	49.86153852	3111413.909	90530	22.56229649	4.177055768	Europe
Iceland	16103947538	1.237705736	20232.54545	100250	0.426751304	6.556084694	Europe
India	1.53E+12	52.98393308	848390910.4	2973190	23.36403905	18.42318414	Asia
Indonesia	6.69E+11	12.71526908	120905425.2	1811570	52.12761206	13.69305099	Asia
"Iran, Islamic Rep."	4.20E+11	9.602765294	21848310.18	1628760	6.564490778	7.394269706	Asia
Iraq	1.48E+11	10.39333951	9660359.091	437370	1.89470425	#DIV/0!	Asia
Ireland	2.45E+11	15.96893598	1713661.545	68890	10.5236807	1.123690967	Europe
Isle of Man	5497947651	42.46842105	40400.63636	570	6.070175439	#DIV/0!	Europe
Israel	2.32E+11	13.83641405	622615.3636	21640	7.267686103	#DIV/0!	Asia
Italy	2.10E+12	24.22009927	18778205.27	294140	30.69286734	2.141864669	Europe
Jamaica	13320274051	11.27423823	1266115.545	10830	31.13153698	6.371911703	North America
Japan	5.14E+12	11.76122901	12499036.18	364560	68.45875478	1.129172814	Asia
Jordan	25789770034	2.1495476	1132904.273	88780	1.100664229	3.259908659	Asia
Kazakhstan	1.53E+11	10.70282254	7525552.636	2699700	1.228520341	5.49138958	Asia
Kenya	41972343186	9.746986682	30884600.27	569140	7.432266226	27.59549012	Africa
Kiribati	152075596.4	2.469135802	57542.09091	810	15	24.209498	Oceania
"Korea, Dem. People’s Rep."	#DIV/0!	19.64122581	9732773.818	120410	47.05136239	#DIV/0!	Asia
"Korea, Rep."	1.14E+12	15.90291278	8926889.818	97480	64.01023924	2.57844759	Asia
Kosovo	5806453426	27.5558005	#DIV/0!	10887	#DIV/0!	15.27127443	Europe
Kuwait	1.31E+11	0.59315376	52990.18182	17820	0.340016325	0.422065726	Asia
Kyrgyz Republic	5263567726	6.66903024	3549459.273	191800	3.746279268	22.83565195	Europe
Lao PDR	7430101461	5.863084922	4179689.182	230800	77.19046794	31.6280428	Asia
Latvia	27261467222	18.89048749	679821.5455	62240	53.68685984	3.68088875	Europe
Lebanon	35462960470	12.63831867	592086.8182	10230	13.38220919	4.624911714	Asia
Lesotho	2202189312	10.13076416	1517968.818	30360	1.485207809	5.902076185	Africa
Liberia	1316758282	4.754983389	2039094.909	96320	44.94393688	50.60392186	Africa
Libya	61350555438	0.985598509	1373202.364	1759540	0.123327688	2.068290658	Africa
Liechtenstein	5118036316	20.6375	30990.45455	160	43.125	#DIV/0!	Europe
Lithuania	40118916957	33.1088319	1032753.727	62680	34.45523218	3.852507557	Europe
Luxembourg	53395891416	23.8015444	58579.45455	2590	33.47490347	0.334327528	Europe
"Macao SAR, China"	31702448325	#DIV/0!	0	30.3	#DIV/0!	0	Asia
"Macedonia, FYR"	9330666724	16.74598059	884097.4545	25430	39.26204664	11.34141153	Europe
Madagascar	8674340563	5.707914105	14359961.18	581800	21.67759484	27.13595367	Africa
Malawi	5674062816	37.22952906	12532337.91	94280	34.55085432	32.00380985	Africa
Malaysia	2.51E+11	2.864617258	8164300.091	328550	66.37290574	9.438419735	Asia
Maldives	2292327558	12.16666667	220888.3636	300	3.333333333	4.798603767	Asia
Mali	10625998229	5.073750809	9684419.455	1220190	4.187872381	37.36049119	Africa
Malta	8796959105	26.65625	22350.09091	320	1.09375	1.666153191	Europe
Marshall Islands	164891419.2	11.11111111	15043.09091	180	70.22222222	14.80440777	Oceania
Mauritania	4209867262	0.401668769	1556133.364	1030700	0.236776418	23.01512836	Africa
Mauritius	10035232507	39.06403941	741722.4545	2030	18.91625616	4.436237028	Africa
Mexico	1.09E+12	12.01322513	26244264.27	1943950	34.22548747	3.427750315	North America
"Micronesia, Fed. Sts."	288780609.1	3.142857143	81073.09091	700	91.61298701	27.27170328	Oceania
Moldova	5903672730	55.31081417	1962246.545	32890	11.74140509	14.27427522	Europe
Monaco	5545711202	#DIV/0!	0	2	#DIV/0!	#DIV/0!	Europe
Mongolia	7892874548	0.421972759	883074.8182	1553560	8.003810603	16.82723288	Asia
Montenegro	3917034509	10.14068567	228271.3636	13450	57.4112876	9.703350218	Europe
Morocco	91416711356	17.96609904	13620893.73	446300	12.51889271	13.87024179	Africa
Mozambique	12195175458	6.898700374	16828847.36	786380	49.58474853	27.33419866	Africa
Myanmar	42999862537	16.28229333	35513985.45	653520	48.14260717	36.03307356	Asia
Namibia	10464616322	0.974990587	1288470.545	823290	8.85471705	8.704856413	Africa
Nauru	72883502.27	#DIV/0!	0	20	0	#DIV/0!	Oceania
Nepal	15214534307	15.26920126	22391302.91	143350	25.3644925	34.95355161	Asia
Netherlands	8.27E+11	31.08255051	2175135.091	33760	11.0186588	1.853979304	Europe
New Caledonia	#DIV/0!	0.359628009	81987.09091	18280	45.89715536	#DIV/0!	Oceania
New Zealand	1.52E+11	1.821047435	601026.5455	263310	38.58569747	6.067076548	Oceania
Nicaragua	9248286208	13.78095396	2446788.091	120340	26.66988986	18.46656384	North America
Niger	5842717891	11.95271177	13542248.64	1266700	0.950501303	40.10732914	Africa
Nigeria	3.25E+11	38.18746775	90114937.36	910770	9.926765265	27.06330093	Africa
Northern Mariana Islands	867636363.6	2.173913043	5944.181818	460	65.91106719	#DIV/0!	Oceania
Norway	4.32E+11	2.278136593	1023250.455	365245	33.1339238	1.516206803	Europe
Oman	59340891358	0.106494346	790313.4545	309500	0.006462036	1.268079956	Asia
Pakistan	1.91E+11	38.94121005	107858638.1	770880	2.188408053	24.01897805	Asia
Palau	212127272.7	2.173913043	3482.636364	460	87.60869565	4.460587897	Oceania
Panama	32362708569	7.439991929	1261525.182	74340	63.21324626	4.239528426	North America
Papua New Guinea	10316253505	0.627125381	5956826.545	452860	74.13489218	#DIV/0!	Oceania
Paraguay	20388754210	10.24213441	2577513.364	397300	42.59295701	20.54437313	South America
Peru	1.46E+11	3.1795	6791246.727	1280000	58.4203125	7.546355491	South America
Philippines	2.04E+11	18.08028977	50983550.55	298170	24.25157095	12.14188306	Asia
Poland	4.64E+11	37.55279642	14878976.36	306330	30.44051495	3.03804006	Europe
Portugal	2.28E+11	12.88418172	4146206.818	91605	35.37981777	2.314193713	Europe
Puerto Rico	94854247258	6.87373168	226950.6364	8870	54.04847802	0.673557305	North America
Qatar	1.32E+11	1.100775194	21625.72727	11610	0	0.117706409	Asia
Romania	1.69E+11	38.50679204	9421063.182	230170	28.58649554	6.495117183	Europe
Russian Federation	1.57E+12	7.403083139	37657597.09	16381390	49.6627822	4.26699533	Europe
Rwanda	5675262436	45.74434536	7796819.455	24670	17.78015256	36.42346159	Africa
Samoa	666013067.8	3.120141343	148868	2830	60.42402827	#DIV/0!	Oceania
San Marino	1607966017	16.66666667	1808.090909	60	0	#DIV/0!	Europe
Sao Tome and Principe	221328924.5	8.9375	65212.63636	960	56.51515152	11.96334763	Africa
Saudi Arabia	5.59E+11	1.533104773	5028013.545	2149690	0.454484135	2.385362384	Asia
Senegal	12787206693	17.17238872	7525388.364	192530	44.00872591	15.92629491	Africa
Serbia	40235084155	29.90395609	3261905.818	87460	30.30268382	10.00269646	Europe
Seychelles	1111365946	1.352173913	41835	460	88.41304348	2.95793384	Africa
Sierra Leone	3107109940	20.99075921	3560344.091	72180	39.33852238	54.8346431	Africa
Singapore	2.31E+11	0.891097628	0	709	23.31358535	0.04275201	Asia
Sint Maarten (Dutch part)	#DIV/0!	#DIV/0!	0	34	#DIV/0!	#DIV/0!	North America
Slovak Republic	88769711241	28.8480173	2447916.455	48100	40.2841566	3.668009589	Europe
Slovenia	46858166885	9.029741807	1018633.182	20140	61.87595919	2.18504997	Europe
Solomon Islands	774670959.9	0.646659521	420239.1818	27990	79.06395141	35.05459702	Oceania
Somalia	5641333333	1.751841107	6006413.455	627340	10.75493353	#DIV/0!	Africa
South Africa	3.30E+11	10.37853745	19281395.9	1213090	7.617736524	2.644215319	Africa
South Sudan	13407414253	#DIV/0!	8310057.818	0	#DIV/0!	#DIV/0!	Africa
Spain	1.38E+12	25.06256042	9899386.182	500210	36.09077889	2.596946995	Europe
Sri Lanka	54084410545	18.81677563	16443092	62710	33.45703889	8.753681816	Asia
St. Kitts and Nevis	729138703.7	17.09230769	35661.45455	260	42.30769231	1.514503527	North America
St. Lucia	1226968219	4.491803279	141742.0909	610	33.7704918	3.295598791	North America
St. Martin (French part)	#DIV/0!	#DIV/0!	#DIV/0!	54.4	18.38235294	#DIV/0!	North America
St. Vincent and the Grenadines	677024868.7	12.82051282	55933.54545	390	68.53146853	7.033649487	North America
Sudan	60762123864	8.216731481	24115871.09	2376000	10.09504668	31.97349643	Africa
Suriname	4002482195	0.345512821	174193.5455	156000	98.40559441	9.807743584	South America
Swaziland	4003830338	10.24418605	936282.9091	17200	32.74841438	7.418839749	Africa
Sweden	4.99E+11	6.41407435	1401176.273	410340	68.694515	1.449796156	Europe
Switzerland	5.82E+11	10.24437985	2061749.818	39518	31.25985221	0.776395466	Europe
Syrian Arab Republic	34198938700	25.47991066	8649348.182	183640	2.629334891	18.88452587	Asia
Tajikistan	5854296911	5.313000228	5587020.273	139960	2.937830865	24.49720705	Asia
Tanzania	32319777496	13.17743283	32872279.45	885800	54.14109485	31.38274724	Africa
Thailand	3.25E+11	30.97437805	37392889.45	510890	31.80581481	10.20347359	Asia
Timor-Leste	960974418.2	10.6926698	754799.6364	14870	49.89912576	23.09290906	Asia
Togo	3328649332	44.3463872	3995658.091	54390	5.276705277	37.40677387	Africa
Tonga	374269713.7	23.33333333	79434.54545	720	12.5	19.20366683	Oceania
Trinidad and Tobago	22954150022	4.873294347	1207408.091	5130	44.75349991	0.494686905	North America
Tunisia	42331876500	18.04261071	3626096.273	155360	6.330165715	9.407671167	Africa
Turkey	6.95E+11	27.99734938	21292450	769630	14.54606877	8.949396837	Asia
Turkmenistan	25098048124	4.213393484	2600807.545	469930	8.782159045	14.73212696	Asia
Turks and Caicos Islands	#DIV/0!	1.052631579	3006.545455	950	36.21052632	#DIV/0!	North America
Tuvalu	31675476.67	#DIV/0!	4438.909091	30	33.33333333	24.35435543	Oceania
Uganda	18917728259	32.79543104	28431889.45	200520	13.75474605	26.32273813	Africa
Ukraine	1.38E+11	56.07100118	14390881.64	579380	16.54528848	9.580389485	Europe
United Arab Emirates	3.09E+11	0.565191388	1199881.818	83600	3.795454545	#DIV/0!	Asia
United Kingdom	2.71E+12	25.09192742	11732087.55	241930	12.69713629	0.664153576	Europe
United States	1.54E+13	17.22876565	59349804.45	9161920	33.65782897	1.210094377	North America
Uruguay	39100202905	11.23163067	189605.3636	175020	9.742730701	9.174200619	South America
Uzbekistan	40120461692	10.2538787	18211534.82	425400	7.676667949	21.89281187	Asia
Vanuatu	655693068.7	1.640689089	178222	12190	36.09515997	25.16436383	Oceania
"Venezuela, RB"	2.96E+11	3.034861969	3251358.273	882050	53.66764407	5.040327023	South America
Vietnam	1.24E+11	20.54590899	60477011.64	310070	45.20680081	20.50113517	Asia
Virgin Islands (U.S.)	4184090909	3.142857143	5781.636364	350	51.89350649	#DIV/0!	North America
West Bank and Gaza	8882795067	11.11046512	989251.6364	6020	1.523255814	6.260648627	Europe
"Yemen, Rep."	29995034542	2.394643635	16086115.27	527970	1.039831809	10.78105414	Asia
Zambia	19451310468	4.518624141	8558968.818	743390	66.54380608	10.91758986	Africa
Zimbabwe	9449206445	10.482099	9426404.909	386850	40.43921182	15.93301257	Africa
