10 year GDP Average,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2-Alpha Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Alternative conversion factor,Average % of Forest Cover (10 yrs),"Average Agriculture Contribution to GDP(% of GDP, 10 yrs)",Average Arable Land %(10 yrs),Average rural population (10 yrs),Average,Balance of Payments Manual in use,Country Code (Country),Country Code,Country Name (GDP),Country Name,Currency Unit,External debt Reporting status,Government Accounting concept,IMF data dissemination standard,Income Group,Indicator Code,Indicator Name,Land area(Sq Km),Latest agricultural census,Latest household survey,Latest industrial data,Latest population census,Latest trade data,Latest water withdrawal data,Lending category,Long Name,National accounts base year,National accounts reference year,Number of Records,Other groups,PPP survey year,Region,SNA price valuation,Short Name,Source of most recent Income and expenditure data,Special Notes,System of National Accounts,System of trade,Table Name,Vital registration complete,WB-2 code
21120839640021.9,,2531219,2529870,2531587,2523283,2515013,2512221,2508300,2502327,2512015,2485054,2464925,2462475,2454114,2444038,2434304,2427784,2426376,2425973,2429882,2421535,2417415,2400555,2384208,2390700,2391847,2391571,2398997,2392056,2393621,2385476,2356467,8316923,8347786,8334584,8256048,8234936,8249169,8235187,8223705,Z7,8224267,8194651,8163178,8129028.3,8111552,8101254,8121183,8085545.2,8073527.2,8053573.5,8090637.5,8076139.5,8067517.2,8089029.9,8090859.4,,,,37.871799048,2.266893094,12.311452148,266116658.727273,4883620.16111111,,ECS,ECS,Europe & Central Asia,Europe & Central Asia,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),27447511,,,,,,,,Europe & Central Asia,,,1,,,,,Europe & Central Asia,,Europe and Central Asia regional aggregate (includes all income levels).,,,Europe & Central Asia,,Z7
17206722043200.5,,2101851,2099241,2093893,2086571,2078347,2073774,2071771,2062914,2062296,2041680,2020916,2013938,2006505,2001457,1995956,1990213,1987283,1986722,1981559,1976655,1972270,1969634,1958073,1955549,1951547,1947684,1945714,1940339,1935527,1929663,1896398,1988824,2045767,2040433,2023284,2020758,2015594,2009721,2003949,EU,1997007,1975302,1957652,1940591.3,1930592,1930229,1922738,1900013.2,1904901.2,1892075,1880677,1871237.7,1862877.2,1862569.4,1855089.1,,,,37.519687957,1.662444478,25.712092765,132361039.636364,1980885.57592593,,EUU,EUU,European Union,European Union,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),4241144,,,,,,,,European Union,,,1,,,,,European Union,,European Union aggregate.,,,European Union,,EU
594174442901.26,,4466160,4475060,4482220,4487780,4488360,4488650,4496810,4500280,4508850,4514970,4519920,4532540,4538070,4547340,4552670,4562630,4569390,4577340,4580880,4585900,4591310,4596320,4599190,4605150,4631530,4665670,4688850,4722990,4740480,4745120,4753615,4768505,4891935,4925895,4941875,4970765,4993715,5009545,5023620,F1,5046455,5069527.2,5087272.8,5123618.7,5126342.3,5156420.2,5169730.8,5186711.2,5183199.3,4846889,4831528.8,4816514.9,4817592.8,4823376.8,4824436.6,,,,22.898858632,21.614170773,6.035642675,263140313.272727,4749102.15555556,,FCS,FCS,Fragile and conflict affected situations,Fragile and conflict affected situations,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),14824168,,,,,,,,Fragile and conflict affected situations,,,1,,,,,Fragile and conflict affected situations,,"Fragile and conflict affected situations aggregate. Countries with fragile situations are primarily International Development Association-eligible countries and nonmember or inactive countries and territories with a 3.2 or lower harmonized average of the World Bank's Country Policy and Institutional Assessment rating and the corresponding rating by a regional development bank, or that have had a UN or regional peacebuilding and political mission (for example by the African Union, European Union, or Organization of American States) or peacekeeping mission (for example, by the African Union, European Union, North Atlantic Treaty Organization, or Organization of American States) during the last three years. The group excludes IBRD countries (for which the CPIA scores are not publically disclosed); unless there is the presence of a peace-keeping or political/peacebuilding mission. This definition is pursuant to an agreement between the World Bank and other multilateral development banks at the start of the International Development Association 15 round in 2007. The list of countries and territories with fragile situations is imperfect and used here to reflect a complex concept. The World Bank continues to work with partners and client countries to refine the concept.",,,Fragile and conflict affected situations,,F1
465629605241.727,,6989240,7000550,7017610,7029650,7041270,7047910,7055480,7071560,7083030,7086890,7110470,7124210,7127550,7131460,7148320,7160740,7174440,7191370,7199720,7208530,7224200,7231740,7244980,7255600,7293690,7340560,7359990,7403740,7433040,7452930,7472640,7499120,7368820,7409590,7449070,7488140,7525790,7552210,7589870,XE,7614830,7655339.2,7682720.8,7744816.7,7767946.1,7854509.2,7872165.8,7906066,7953133.2,7638473.7,7640500,7353382.3,7383932.4,7382494.1,7381848.6,,,,28.808757629,28.114830253,7.915906576,425591303.181818,7359775.52037037,,HPC,HPC,Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),19754791,,,,,,,,Heavily indebted poor countries (HIPC),,,1,,,,,Heavily indebted poor countries (HIPC),,Heavily indebted poor countries aggregate.,,,Heavily indebted poor countries (HIPC),,XE
45446756456017,,13189483,13174193,13172530,13168987,13170438,13175286,13193595,13166261,13196689,13190668,13169929,13169409,13178348,13172682,13163658,13173848,13073640,13026127,13053556,13067519,13060519,13039779,12963592,13033274,13080891,13111295,13113651,13170290,13166335,13183350,13134573,13240897,13712776,13769020,13681879,13658035,13604811,13616020,13499674,XD,13521676,13503337,13352459,13265687.3,13248101.3,13298228.6,13141839.1,13057279.1,12977561,12841883.1,12692333.2,12751132.6,12766347.9,12647994.4,12763682.2,,,,28.715428012,1.459014998,10.288921164,226778638.454545,13179945.3481482,,HIC,HIC,High income,High income,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),35088855.4,,,,,,,,High income,,,1,,,,,High income,,"High income group aggregate. High-income economies are those in which 2015 GNI per capita was $12,476 or more.",,,High income,,XD
19408603085366.6,,15657128,15746461,15826885,15897183,15981798,16072845,16153279,16262040,16408982,16482018,16617021,16722756,16834681,16962719,17047478,17154558,17260158,17350834,17450177,17506711,17549130,17688021.4,17835228.4,17996940.6,18180692,18313466,18448354,18542323,18645982,18775423,18873958,24380603.8,24443877,24491766,24508377,24520349.6,24554975.2,24576088.2,24585966,XF,24579689,24537952,24527912,24566213,24671306.3,24530210,24542152.1,24564720.9,24580265,24607339.4,24684913.7,24720565.4,24753113.7,24853030.5,24879150,,,,33.553718822,8.688776906,11.315549749,2132324490.45038,20331588.262963,,IBD,IBD,IBRD only,IBRD only,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),67948473.8,,,,,,,,IBRD only,,,1,,,,,IBRD only,,IBRD only group aggregate.,,,IBRD only,,XF
21017935036465.9,,26106233.1,26216921,26341434.1,26439253.7,26562409.3,26633264.9,26741917.7,26862269.5,27062412.3,27116337.7,27246716.6,27335816,27512371,27599288,27694398,27664218,27742668,27841274,27928704,28028006,28046308,28225587.4,28372368.4,28592153.6,28843904,29062312,29241407,29382895,29532952,29680786,29832341,35793737.8,35694623,35798082,35883010,35942748.6,36132382.2,36191152.2,36276789,ZT,36306977,36297522.2,36325285.8,36280445.7,36411459.4,36369615.2,36421866.9,36488460.9,36537117.2,36207956.1,36305099.7,36359318.7,36433344.1,36521305.6,36544040.6,,,,31.537859497,9.771623851,10.956840104,3125938204.35947,31389097.5407407,,IBT,IBT,IDA & IBRD total,IDA & IBRD total,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),95724208.8,,,,,,,,IDA & IBRD total,,,1,,,,,IDA & IBRD total,,"IDA and IBRD total group aggregate (includes IDA only, IDA blend, and IBRD only).",,,IDA & IBRD total,,ZT
830940574841.856,,2975375.1,2984060,3009239.1,3026260.7,3058281.3,3037059.9,3057828.7,3057329.5,3103010.3,3079224.7,3066005.6,3030040,3092460,3052199,3052340,2902320,2870350,2861000,2848462,2881235,2845968,2879380,2867752,2920855,2939808,2981242,2999880,2995960,3010950,3009959,3044128,3332837,3303327,3312555,3340430,3354734,3471500,3484605,3516574,XH,3528402,3514789,3525451,3371604,3369015,3382794,3401491,3404415,3395589,3353976,3370307,3390312,3400117,3391263,3388193,,,,28.120685819,23.398152521,13.860729954,327366230.454545,3163782.27592593,,IDB,IDB,IDA blend,IDA blend,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),6824490,,,,,,,,IDA blend,,,1,,,,,IDA blend,,IDA blend group aggregate.,,,IDA blend,,XH
775973414325.996,,7473730,7486400,7505310,7515810,7522330,7523360,7530810,7542900,7550420,7555095,7563690,7583020,7585230,7584370,7594580,7607340,7612160,7629440,7630065,7640060,7651210,7658186,7669388,7674358,7723404,7767604,7793173,7844612,7876020,7895404,7914255,8080297,7947419,7993761,8034203,8067665,8105907,8130459,8174249,XI,8198886,8244781.2,8271922.8,8342628.7,8371138.1,8456611.2,8478223.8,8519325,8561263.2,8246640.7,8249879,8248441.3,8280113.4,8277012.1,8276697.6,,,,26.110980837,27.297228643,8.846965850,666247483.454546,7893727.00185185,,IDX,IDX,IDA only,IDA only,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),20952200,,,,,,,,IDA only,,,1,,,,,IDA only,,IDA only group aggregate.,,,IDA only,,XI
1611513545296,,10449105.1,10470460,10514549.1,10542070.7,10580611.3,10560419.9,10588638.7,10600229.5,10653430.3,10634319.7,10629695.6,10613060,10677690,10636569,10646920,10509660,10482510,10490440,10478527,10521295,10497178,10537566,10537140,10595213,10663212,10748846,10793053,10840572,10886970,10905363,10958383,11413134,11250746,11306316,11374633,11422399,11577407,11615064,11690823,XG,11727288,11759570.2,11797373.8,11714232.7,11740153.1,11839405.2,11879714.8,11923740,11956852.2,11600616.7,11620186,11638753.3,11680230.4,11668275.1,11664890.6,,,,26.604952851,25.297024978,10.079260978,993613713.909091,11057509.2777778,,IDA,IDA,IDA total,IDA total,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),27776650,,,,,,,,IDA total,,,1,,,,,IDA total,,IDA total group aggregate (includes IDA only and IDA blend).,,,IDA total,,XG
13681598595368.8,,8114925,8213088,8315602,8402330,8502244,8593591,8680765,8783696,8920768,8991754,9115717,9198652,9301029,9422504,9512197,9463383,9565055,9646413,9709390,9780117,9854317,9978724,10097769,10224963,10358386,10452878,10533044,10611743,10695954,10781342,10868480,15591393,15609797,15659112,15657044,15650607,15784834,15789600,15794507,V3,15792989,15736486,15728381,15568072,15588488,15596864,15604823,15584021,15607983.8,15608438,15660295,15682035.5,15692037.4,15777274.1,15821710.4,,,,38.880603194,7.517209900,9.174977473,976588371.909091,12134770.5962963,,LTE,LTE,Late-demographic dividend,Late-demographic dividend,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),44535319.8,,,,,,,,Late-demographic dividend,,,1,,,,,Late-demographic dividend,,"Late-dividend countries are mostly upper-middle-income countries where fertility rates are typically above replacement levels of 2.1 births per woman, but fertility continues to decline.",,,Late-demographic dividend,,V3
4755061877854.4,,5571190,5623300,5673800,5715300,5758190,5800980,5837060,5893410,5986580,6007360,6072450,6118480,6159160,6216129,6263610,6304490,6347950,6368660,6402762,6430955,6458988,6499830,6540922,6572500,6594958,6643012,6673090,6696480,6725680,6785749,6832288,6850377,6885927,6892694,6971330,7009504,7024060,7043795,7059414,T2,7063487,7053376,7070780,7117977,7199472.3,7244998,7276323.1,7305607.9,7332682,7335413.7,7367797.7,7389172.2,7410914.6,7469197,7486907,,,,47.002749629,5.471600145,8.105646172,125526503.818182,6637713.32407407,,TLA,TLA,Latin America & the Caribbean (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),19913632,,,,,,,,Latin America & Caribbean (IDA & IBRD),,,1,,,,,Latin America & Caribbean (IDA & IBRD),,Latin America & the Caribbean (IDA & IBRD countries) aggregate.,,,Latin America & Caribbean (IDA & IBRD),,T2
4547134302692.91,,5308020,5362040,5414230,5461760,5501960,5543260,5578990,5635400,5727800,5750530,5814000,5863060,5904370,5955399,6002120,6038780,6084040,6105250,6139892,6169785,6199168,6243360,6286342,6318350,6342198,6393292,6429220,6453500,6482560,6544019,6591718,6612297,6648137,6654714,6734540,6772984,6788370,6808005,6825014,XJ,6827492,6818033,6831669,6880066,6956392,7003518,7036993,7068307,7093091,7093906.7,7129962.7,7149411.2,7174430.6,7229490,7246898.1,,,,48.200403962,5.518679766,8.457085969,124732957.363636,6389409.89444444,,LAC,LAC,Latin America & Caribbean (excluding high income),Latin America & Caribbean (excluding high income),,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),19096113,,,,,,,,Latin America & Caribbean (excluding high income),,,1,,,,,Latin America & Caribbean (excluding high income),,Latin America and Caribbean regional aggregate (does not include high-income economies).,,,Latin America & Caribbean (excluding high income),,XJ
4945495539538.09,,5613377,5667887,5720777,5769267,5810327,5852477,5889527,5946917,6040227,6063677,6129057,6180017,6223167,6277956,6327217,6369977,6413827,6433677,6466829,6495672,6523635,6565927,6607959,6639147,6662365,6712729,6745547,6769547,6798467,6858056,6904585,6922774,6956884,6963181,7041787,7079271,7094367,7113787,7129110,ZJ,7132006,7122790,7140027,7187004,7267329.3,7313855,7345029.1,7374154.9,7400715,7402950.7,7434813.7,7455651.2,7477385.6,7535044,7552120.1,,,,46.904899714,5.386914538,8.227753876,128751303,6702256.6037037,,LCN,LCN,Latin America & Caribbean,Latin America & Caribbean,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),20042207.4,,,,,,,,Latin America & Caribbean,,,1,,,,,Latin America & Caribbean,,Latin America and Caribbean regional aggregate (includes all income levels).,,,Latin America & Caribbean,,ZJ
674117407743.989,,7297090,7307650,7325610,7336990,7347800,7355030,7361950,7376300,7383370,7387810,7395150,7406880,7404390,7401070,7410040,7419280,7419840,7434210,7434260,7442900,7451480,7455216,7466602,7467728,7505014,7548250,7571866,7618102,7645858,7666254,7682160,7696762,7558654,7594896,7627728,7663810,7697572,7718754,7755646,XL,7782551,7825116.2,7849757.8,7916653.7,7937913.1,8021626.2,8039615.8,8071809,8117746.2,7807694.7,7811844,7811760.3,7842521.4,7843081.1,7842812.6,,,,27.617974867,28.062708697,8.272151845,602395843.272727,7603008.79814815,,LDC,LDC,Least developed countries: UN classification,Least developed countries: UN classification,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),20167053,,,,,,,,Least developed countries: UN classification,,,1,,,,,Least developed countries: UN classification,,Least developed countries (UN classification) aggregate.,,,Least developed countries: UN classification,,XL
20311523060403.1,,25667280.1,25780478,25907461.1,26011840.7,26134145.3,26203510.9,26313103.7,26433935.5,26635508.3,26691533.7,26820642.6,26914142,27092277,27173954,27268634,27234504,27315174,27414780,27503370,27605642,27626304,27809123.4,27957934.4,28177559.6,28430920,28652718,28837743,28980621,29130658,29280042,29433247,35373175.8,35276151,35380100,35466931,35531354.6,35721908.2,35779445.2,35866862.9,XO,35904386,35901710.2,35934575.8,35898061.1,36022525.1,35986609.2,36040249.8,36113999,36158641.2,35826972.1,35938735.7,35987432.5,36067310.6,36150865.5,36174013.9,,,,31.665367458,10.014387029,10.974699320,3119107779.6322,30980385.2537037,,LMY,LMY,Low & middle income,Low & middle income,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),94670126.8,,,,,,,,Low & middle income,,,1,,,,,Low & middle income,,"Low and middle income group aggregate (all developing economies). Low- and middle-income economies are those in which 2015 GNI per capita was $12,475 or less.",,,Low & middle income,,XO
292364852903.651,,4648970,4657900,4674860,4683510,4691910,4695950,4701000,4715290,4722390,4726140,4742070,4748120,4751160,4746880,4754060,4760310,4762110,4777050,4780900,4789420,4797880,4801386,4811212,4810768,4823664,4832800,4829536,4837032,4838608,4857884,4873470,4885052,4717774,4740446,4757548,4782690,4813282,4831414,4864166,XM,4888131,4923869.2,4943340.8,4987746.7,5009006.1,5085049.2,5089775.8,5110871,5155903.2,5176255.7,5198953,5512690.7,5538605.8,5537583.5,5535257,,,,28.164909824,32.556992528,8.993189868,397804907.545455,4883882.42037037,,LIC,LIC,Low income,Low income,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),13382221,,,,,,,,Low income,,,1,,,,,Low income,,"Low income group aggregate. Low-income economies are those in which 2015 GNI per capita was $1,025 or less.",,,Low income,,XM
4292177229581.94,,8425445.1,8455430,8482049.1,8512830.7,8551671.3,8534559.9,8564418.7,8569929.5,8613050.3,8597929.7,8585765.6,8560820,8635840,8609310,8621160,8481930,8459480,8464580,8449045,8490090,8460820,8503512.4,8491793.4,8560012.6,8641270,8734274,8808747,8855240,8912182,8920390,8929905,9806867.8,9824675,9858085,9915245,9934769.6,10071874.2,10091871.2,10155203,XN,10178465,10172585,10199685,10109775,10132959,10135708,10165112,10203636,10204690,9847344.4,9839882.8,9556019.8,9574872.9,9570446.3,9571569.5,,,,24.975268888,17.706077882,18.213412734,1716053317.54545,9177867.08888889,,LMC,LMC,Lower middle income,Lower middle income,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),21754614,,,,,,,,Lower middle income,,,1,,,,,Lower middle income,,"Lower middle income group aggregate. Lower-middle-income economies are those in which 2015 GNI per capita was between $1,026 and $4,035.",,,Lower middle income,,XN
1261309091921.11,,2005230,2004150,2006600,2007130,2009600,2009320,2015630,2018670,2025420,2032710,2062730,2074090,2078720,2079610,2069870,2072580,2071230,2067770,2079060,2066910,2029796,2037553.4,2044467.4,2051423.6,2054688,2054898,2060850,2067570,2064678,2065612,2090124,2108259.8,2121920,2127110,2125510,2129904.6,2120429.2,2132456.2,2119555,T3,2107940,2116980,2124160,2130207,2138933,1976710,1975953,1980189,1957247,1955311,1960126,1961800,1964643.9,1973007.4,1973037,,,,2.486131224,9.225385452,5.696462000,135569970.727273,2051112.58333333,,TMN,TMN,Middle East & North Africa (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),8637780,,,,,,,,Middle East & North Africa (IDA & IBRD),,,1,,,,,Middle East & North Africa (IDA & IBRD),,Middle East & North Africa (IDA & IBRD countries) aggregate.,,,Middle East & North Africa (IDA & IBRD),,T3
